Rank;Bib;"FISCode";Name;"Year ofBirth";"NSACode";Run 1;;Run 2;;Total;Diff.;"RacePoints";Ski;;;;;;Time Rank;;Time;Rank;;;;
1;13;422729;BRAATHEN Lucas;2000;NOR;1:08.37;(5);1:06.04;(2);2:14.41;;0.00;Atomic
2;15;512269;ODERMATT Marco;1997;SUI;1:08.44;(7);1:06.02;(1);2:14.46;0.05;0.38;Stoeckli
3;12;511852;CAVIEZEL Gino;1992;SUI;1:08.13;(1);1:06.74;(12);2:14.87;0.46;3.46;Dynastar
4;7;194364;PINTURAULT Alexis;1991;FRA;1:08.28;(4);1:06.62;(9);2:14.90;0.49;3.68;Head
5;11;512182;MEILLARD Loic;1996;SUI;1:08.41;(6);1:06.56;(8);2:14.97;0.56;4.21;Rossignol
5;6;422304;KRISTOFFERSEN Henrik;1994;NOR;1:08.23;(3);1:06.74;(12);2:14.97;0.56;4.21;Rossignol
7;1;561244;KRANJEC Zan;1992;SLO;1:08.19;(2);1:06.99;(17);2:15.18;0.77;5.79;Rossignol
8;4;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;1:08.55;(8);1:06.90;(15);2:15.45;1.04;7.81;Rossignol
9;24;194935;FAVROT Thibaut;1994;FRA;1:09.09;(14);1:06.53;(7);2:15.62;1.21;9.09;Dynastar
10;10;990116;de ALIPRANDINI Luca;1990;ITA;1:08.70;(9);1:07.08;(20);2:15.78;1.37;10.29;Salomon
11;26;511896;MURISIER Justin;1992;SUI;1:09.35;(17);1:06.44;(5);2:15.79;1.38;10.37;Head
12;5;380335;ZUBCIC Filip;1993;CRO;1:08.91;(11);1:06.95;(16);2:15.86;1.45;10.90;Atomic
13;29;990048;BORSOTTI Giovanni;1990;ITA;1:09.84;(22);1:06.24;(3);2:16.08;1.67;12.55;Rossignol
14;22;202437;LUITZ Stefan;1992;GER;1:09.88;(23);1:06.33;(4);2:16.21;1.80;13.53;Rossignol
15;20;202597;SCHMID Alexander;1994;GER;1:09.06;(13);1:07.17;(23);2:16.23;1.82;13.68;Head
16;14;193967;MUFFAT-JEANDET Victor;1989;FRA;1:09.00;(12);1:07.36;(24);2:16.36;1.95;14.65;Salomon
17;30;54027;BRENNSTEINER Stefan;1991;AUT;1:09.53;(18);1:06.86;(14);2:16.39;1.98;14.88;Fischer
18;40;60261;MAES Sam;1998;BEL;1:09.72;(21);1:06.73;(11);2:16.45;2.04;15.33;Voelkl
19;23;103729;READ Erik;1991;CAN;1:10.09;(27);1:06.49;(6);2:16.58;2.17;16.31;Atomic
20;36;511863;SETTE Daniele;1992;SUI;1:10.05;(25);1:06.63;(10);2:16.68;2.27;17.06;
21;33;292491;MOELGG Manfred;1982;ITA;1:09.59;(20);1:07.16;(22);2:16.75;2.34;17.58;Fischer
22;8;531799;FORD Tommy;1989;USA;1:09.19;(15);1:07.75;(26);2:16.94;2.53;19.01;Head
23;34;294890;NANI Roberto;1988;ITA;1:10.02;(24);1:07.01;(18);2:17.03;2.62;19.69;
24;32;53980;KRIECHMAYR Vincent;1991;AUT;1:10.27;(29);1:07.13;(21);2:17.40;2.99;22.47;Head
25;17;53902;MAYER Matthias;1990;AUT;1:09.54;(19);1:07.91;(27);2:17.45;3.04;22.84;Head
26;2;194495;FAIVRE Mathieu;1992;FRA;1:09.31;(16);1:08.15;(28);2:17.46;3.05;22.92;Head
27;35;6532084;RADAMUS River;1998;USA;1:10.45;(30);1:07.03;(19);2:17.48;3.07;23.07;Rossignol
28;31;700830;ZAMPA Adam;1990;SVK;1:10.17;(28);1:07.70;(25);2:17.87;3.46;26.00;Salomon
Conditions on course:;;;;;;
Run 1	SUNNY;Snow:;HARD;Temperature - Start:;-3°C;Temperature - Finish:;-8°C
Run 2	SUNNY;Snow:;HARD;Temperature - Start:;-4°C;Temperature - Finish:;-2°C