Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;;Run 2;;;Total;Race;;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;;Time Rank;;;;;;
1;6;194364;PINTURAULT Alexis;1991;FRA;1;09.68;(2);1;08.68;(1);2:18.36;;0.00;Head
2;5;380335;ZUBCIC Filip;1993;CRO;1;10.40;(5);1;09.22;(5);2:19.62;1.26;9.20;Atomic
3;1;512182;MEILLARD Loic;1996;SUI;1;09.38;(1);1;10.63;(23);2:20.01;1.65;12.04;Rossignol
4;3;512269;ODERMATT Marco;1997;SUI;1;10.08;(3);1;09.95;(17);2:20.03;1.67;12.19;Stoeckli
5;15;422139;KILDE Aleksander Aamodt;1992;NOR;1;10.36;(4);1;09.69;(8);2:20.05;1.69;12.34;Atomic
6;10;990116;de ALIPRANDINI Luca;1990;ITA;1;11.16;(10);1;09.26;(6);2:20.42;2.06;15.04;Salomon
7;12;511852;CAVIEZEL Gino;1992;SUI;1;10.87;(8);1;09.69;(8);2:20.56;2.20;16.06;Dynastar
8;18;54031;LEITINGER Roland;1991;AUT;1;10.85;(7);1;09.75;(11);2:20.60;2.24;16.35;Salomon
9;20;194935;FAVROT Thibaut;1994;FRA;1;10.78;(6);1;09.83;(14);2:20.61;2.25;16.42;Dynastar
10;11;511896;MURISIER Justin;1992;SUI;1;10.89;(9);1;10.01;(18);2:20.90;2.54;18.54;Head
11;29;54063;FELLER Manuel;1992;AUT;1;12.21;(28);1;08.71;(2);2:20.92;2.56;18.69;Atomic
12;16;54320;SCHWARZ Marco;1995;AUT;1;11.65;(19);1;09.30;(7);2:20.95;2.59;18.91;Atomic
13;14;103729;READ Erik;1991;CAN;1;11.80;(20);1;09.21;(3);2:21.01;2.65;19.34;Atomic
14;25;990048;BORSOTTI Giovanni;1990;ITA;1;11.59;(14);1;09.80;(13);2:21.39;3.03;22.12;Rossignol
15;13;194495;FAIVRE Mathieu;1992;FRA;1;11.60;(16);1;09.84;(15);2:21.44;3.08;22.48;Head
16;26;291318;TONETTI Riccardo;1989;ITA;1;11.64;(18);1;09.85;(16);2:21.49;3.13;22.85;Blizzard
17;27;422469;SOLHEIM Fabian Wilkens;1996;NOR;1;12.33;(29);1;09.21;(3);2:21.54;3.18;23.21;Head
18;44;54368;BORGNAES Christian;1996;AUT;1;12.09;(24);1;09.76;(12);2:21.85;3.49;25.48;Salomon
19;17;6530319;COCHRAN-SIEGLE Ryan;1992;USA;1;12.16;(27);1;09.72;(10);2:21.88;3.52;25.70;Rossignol
20;33;6532084;RADAMUS River;1998;USA;1;11.94;(22);1;10.08;(19);2:22.02;3.66;26.72;Rossignol
20;9;193967;MUFFAT-JEANDET Victor;1989;FRA;1;11.51;(13);1;10.51;(21);2:22.02;3.66;26.72;Salomon
22;8;202597;SCHMID Alexander;1994;GER;1;11.20;(11);1;10.91;(26);2:22.11;3.75;27.37;Head
23;21;700830;ZAMPA Adam;1990;SVK;1;11.59;(14);1;10.70;(25);2:22.29;3.93;28.69;Salomon
24;34;481730;KUZNETSOV Ivan;1996;RUS;1;11.93;(21);1;10.61;(22);2:22.54;4.18;30.51;Atomic
25;53;501898;ROENNGREN Mattias;1993;SWE;1;12.42;(30);1;10.16;(20);2:22.58;4.22;30.81;Head
26;24;54027;BRENNSTEINER Stefan;1991;AUT;1;12.01;(23);1;10.66;(24);2:22.67;4.31;31.46;Fischer
27;7;422304;KRISTOFFERSEN Henrik;1994;NOR;1;11.46;(12);1;11.40;(28);2:22.86;4.50;32.85;Rossignol
28;31;511867;NOGER Cedric;1992;SUI;1;12.12;(26);1;11.05;(27);2:23.17;4.81;35.11;Kaestle
29;47;561322;HADALIN Stefan;1995;SLO;1;12.11;(25);1;11.78;(29);2:23.89;5.53;40.37;Rossignol
Conditions on course:;;;;;;
Run 1	SUNNY;Snow:;HARD;Temperature - Start:;-9°C;Temperature - Finish:;-8°C
Run 2	SUNNY;Snow:;HARD;Temperature - Start:;-6°C;Temperature - Finish:;-5°C