Rank;Bib;"FISCode";Name;YB;NSA;;Difference;"Distance(m)";Race;;;;;;Code;Time;;;Points;Ski
1;9;512269;ODERMATT Marco;1997;SUI	1;23.59;;;0.00;Stoeckli
2;16;6190176;BAILET Matthieu;1996;FRA	1;24.21;0.62;16.42;8.83;Salomon
3;5;53980;KRIECHMAYR Vincent;1991;AUT	1;24.40;0.81;21.40;11.53;Head
4;33;54445;HAASER Raphael;1997;AUT	1;24.42;0.83;21.92;11.82;Fischer
5;40;511896;MURISIER Justin;1992;SUI	1;24.57;0.98;25.84;13.95;Head
6;20;511383;FEUZ Beat;1987;SUI	1;24.76;1.17;30.78;16.66;Head
7;7;53902;MAYER Matthias;1990;AUT	1;24.87;1.28;33.63;18.22;Head
8;3;200379;SANDER Andreas;1989;GER	1;25.13;1.54;40.34;21.92;Atomic
9;38;6530104;BENNETT Bryce;1992;USA	1;25.15;1.56;40.85;22.21;Fischer
10;42;53975;HEMETSBERGER Daniel;1991;AUT	1;25.19;1.60;41.88;22.78;Fischer
11;27;54157;DANKLMAIER Daniel;1993;AUT	1;25.28;1.69;44.19;24.06;Atomic
12;31;291318;TONETTI Riccardo;1989;ITA	1;25.32;1.73;45.22;24.63;Blizzard
13;29;202059;FERSTL Josef;1988;GER 1;25.61;2.02;52.62;28.76;Head
14;21;194298;GIEZENDANNER Blaise;1991;FRA	1;25.68;2.09;54.40;29.75;Atomic
15;1;194364;PINTURAULT Alexis;1991;FRA	1;25.69;2.10;54.65;29.90;Head
16;45;293550;MARSAGLIA Matteo;1985;ITA	1;25.75;2.16;56.17;30.75;Fischer
17;23;512038;ROGENTIN Stefan;1994;SUI	1;25.77;2.18;56.68;31.03;Fischer
18;24;501987;MONSEN Felix;1994;SWE	1;25.81;2.22;57.69;31.60;Atomic
19;43;104468;READ Jeffrey;1997;CAN	1;25.93;2.34;60.73;33.31;Atomic
20;19;54009;WALDER Christian;1991;AUT	1;26.09;2.50;64.76;35.59;Salomon
21;28;54371;BABINSKY Stefan;1996;AUT	1;26.10;2.51;65.01;35.73;Head
22;37;561255;CATER Martin;1992;SLO	1;26.27;2.68;69.28;38.15;Stoeckli
23;36;194650;PICCARD Roy;1993;FRA	1;26.40;2.81;72.53;40.00;Rossignol
24;32;104096;THOMPSON Broderick;1994;CAN	1;26.45;2.86;73.77;40.72;Head
25;41;934643;GOLDBERG Jared;1991;USA	1;26.53;2.94;75.77;41.85;Head
26;8;104531;CRAWFORD James;1997;CAN	1;26.55;2.96;76.27;42.14;Head
27;51;202525;SCHMID Manuel;1993;GER	1;26.59;3.00;77.26;42.71;Rossignol
28;17;530874;GANONG Travis;1988;USA	1;26.72;3.13;80.49;44.56;Atomic
29;13;51215;BAUMANN Romed;1986;GER	1;26.77;3.18;81.73;45.27;Salomon
30;47;6531444;ARVIDSSON Erik;1996;USA	1;26.83;3.24;83.21;46.13;Head
31;26;192746;THEAUX Adrien;1984;FRA 1;26.92;3.33;85.43;47.41;Head
32;15;291459;PARIS Dominik;1989;ITA	1;26.93;3.34;85.68;47.55;Nordica
33;11;421483;JANSRUD Kjetil;1985;NOR	1;27.08;3.49;89.37;49.68;Head
34;52;422403;ROEA Henrik;1995;NOR 1;27.16;3.57;91.34;50.82;Nordica
35;46;151238;ZABYSTRAN Jan;1998;CZE	1;27.23;3.64;93.06;51.82;Atomic
36;4;511852;CAVIEZEL Gino;1992;SUI	1;27.28;3.69;94.28;52.53;Dynastar
37;54;492192;ORTEGA Albert;1998;ESP	1;28.55;4.96;124.91;70.61;Rossignol
38;53;561397;NARALOCNIK Nejc;1999;SLO	1;29.25;5.66;141.42;80.58;
Conditions on course:;;;;
PARTLY CLOUDY;Snow: COMPACT;Temperature - Start: 0°C;Temperature - Finish:;1°C