Rank;Bib;"FISCode";Name;YB;"NSACode";;Time;Difference;"Distance(m)";Ski
1;13;422139;KILDE Aleksander Aamodt;1992;NOR;1;26.29;;;Atomic
2;7;511513;CAVIEZEL Mauro;1988;SUI;1;26.41;0.12;3.35;Atomic
3;15;421483;JANSRUD Kjetil;1985;NOR;1;26.50;0.21;5.86;Head
4;5;53902;MAYER Matthias;1990;AUT;1;26.63;0.34;9.48;Head
5;6;200379;SANDER Andreas;1989;GER;1;26.89;0.60;16.68;Atomic
6;2;194858;ALLEGRE Nils;1994;FRA;1;27.07;0.78;21.63;Salomon
7;12;191740;CLAREY Johan;1981;FRA;1;27.15;0.86;23.83;Head
8;16;6530319;COCHRAN-SIEGLE Ryan;1992;USA;1;27.16;0.87;24.11;Rossignol
9;11;512269;ODERMATT Marco;1997;SUI;1;27.27;0.98;27.12;Stoeckli
10;3;511383;FEUZ Beat;1987;SUI;1;27.34;1.05;29.03;Head
11;32;512042;KRYENBUEHL Urs;1994;SUI;1;27.42;1.13;31.22;Fischer
12;1;291459;PARIS Dominik;1989;ITA;1;27.43;1.14;31.49;Nordica
13;10;54009;WALDER Christian;1991;AUT;1;27.47;1.18;32.58;Salomon
14;21;192746;THEAUX Adrien;1984;FRA;1;27.55;1.26;34.76;Head
15;9;53980;KRIECHMAYR Vincent;1991;AUT;1;27.56;1.27;35.03;Head
16;43;51215;BAUMANN Romed;1986;GER;1;27.63;1.34;36.93;Salomon
17;4;53817;FRANZ Max;1989;AUT;1;27.69;1.40;38.56;Fischer
18;8;50742;REICHELT Hannes;1980;AUT;1;27.74;1.45;39.91;Salomon
19;29;561216;KLINE Bostjan;1991;SLO;1;27.75;1.46;40.18;Nordica
20;30;202059;FERSTL Josef;1988;GER;1;27.81;1.52;41.80;Head
21;25;194190;ROGER Brice;1990;FRA;1;27.97;1.68;46.12;Rossignol
21;23;194298;GIEZENDANNER Blaise;1991;FRA;1;27.97;1.68;46.12;Atomic
23;57;934643;GOLDBERG Jared;1991;USA;1;27.99;1.70;46.66;Head
24;18;6290985;BUZZI Emanuele;1994;ITA;1;28.01;1.72;47.20;Head
25;17;530874;GANONG Travis;1988;USA;1;28.05;1.76;48.27;Atomic
26;20;293006;INNERHOFER Christof;1984;ITA;1;28.06;1.77;48.54;Rossignol
27;24;104531;CRAWFORD James;1997;CAN;1;28.13;1.84;50.42;Head
28;38;512124;HINTERMANN Niels;1995;SUI;1;28.18;1.89;51.76;Atomic
28;28;512038;ROGENTIN Stefan;1994;SUI;1;28.18;1.89;51.76;Fischer
30;39;561255;CATER Martin;1992;SLO;1;28.21;1.92;52.57;Stoeckli
31;37;54371;BABINSKY Stefan;1996;AUT;1;28.30;2.01;54.97;Head
32;59;194368;RAFFORT Nicolas;1991;FRA;1;28.33;2.04;55.77;Rossignol
33;42;6530104;BENNETT Bryce;1992;USA;1;28.35;2.06;56.31;Fischer
34;56;6190176;BAILET Matthieu;1996;FRA;1;28.38;2.09;57.11;Salomon
34;46;202345;SCHWAIGER Dominik;1991;GER;1;28.38;2.09;57.11;Head
36;41;501987;MONSEN Felix;1994;SWE;1;28.42;2.13;58.18;Atomic
37;34;104096;THOMPSON Broderick;1994;CAN;1;28.52;2.23;60.84;Head
38;27;561217;KOSI Klemen;1991;SLO;1;28.54;2.25;61.37;Atomic
39;40;6290845;BOSCA Guglielmo;1993;ITA;1;28.55;2.26;61.64;Head
39;19;422310;SEJERSTED Adrian Smiseth;1994;NOR;1;28.55;2.26;61.64;Atomic
41;51;293550;MARSAGLIA Matteo;1985;ITA;1;28.61;2.32;63.23;Fischer
42;31;512039;ROULIN Gilles;1994;SUI;1;28.67;2.38;64.82;Head
43;14;511852;CAVIEZEL Gino;1992;SUI;1;28.68;2.39;65.09;Dynastar
44;52;502004;KOELL Alexander;1990;SWE;1;28.75;2.46;66.94;Atomic
Conditions on course:;;;;
SUNNY;Snow: HARD;Temperature - Start:;-1°C;Temperature - Finish: -2°C