Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;Run 2;;Total;;Race;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time;Rank;Time;Rank;;;;;
1;4;422304;KRISTOFFERSEN Henrik;1994;NOR;48.59;(12);46.76;(3);1;35.35;;0.00;Rossignol
2;2;422082;FOSS-SOLEVAAG Sebastian;1991;NOR;47.34;(1);48.34;(25);1;35.68;0.33;2.53;Voelkl
3;12;6293171;VINATZER Alex;1999;ITA;47.84;(3);47.85;(22);1;35.69;0.34;2.60;Nordica
4;13;54063;FELLER Manuel;1992;AUT;47.86;(4);47.84;(21);1;35.70;0.35;2.68;Atomic
5;5;6190403;NOEL Clement;1997;FRA;48.17;(7);47.62;(16);1;35.79;0.44;3.37;Dynastar
6;19;192665;GRANGE Jean-Baptiste;1984;FRA;49.19;(25);46.70;(2);1;35.89;0.54;4.13;Rossignol
6;11;202451;STRASSER Linus;1992;GER;48.22;(8);47.67;(19);1;35.89;0.54;4.13;Rossignol
6;3;194364;PINTURAULT Alexis;1991;FRA;48.12;(5);47.77;(20);1;35.89;0.54;4.13;Head
9;7;54320;SCHWARZ Marco;1995;AUT;48.39;(10);47.54;(14);1;35.93;0.58;4.44;Atomic
10;17;502015;JAKOBSEN Kristoffer;1994;SWE;49.27;(26);46.69;(1);1;35.96;0.61;4.67;Fischer
11;15;512182;MEILLARD Loic;1996;SUI;48.88;(17);47.11;(6);1;35.99;0.64;4.90;Rossignol
12;25;54444;GSTREIN Fabio;1997;AUT;49.04;(23);47.05;(4);1;36.09;0.74;5.67;Atomic
13;8;480736;KHOROSHILOV Alexander;1984;RUS;48.89;(18);47.26;(8);1;36.15;0.80;6.12;Fischer
13;6;511902;ZENHAEUSERN Ramon;1992;SUI;47.74;(2);48.41;(26);1;36.15;0.80;6.12;Rossignol
15;18;292491;MOELGG Manfred;1982;ITA;48.68;(15);47.48;(12);1;36.16;0.81;6.20;Fischer
16;14;54170;MATT Michael;1993;AUT;48.55;(11);47.63;(17);1;36.18;0.83;6.35;Rossignol
17;26;54348;PERTL Adrian;1996;AUT;48.97;(20);47.34;(9);1;36.31;0.96;7.35;Voelkl
18;21;512203;NEF Tanguy;1996;SUI;49.02;(21);47.34;(9);1;36.36;1.01;7.73;Fischer
18;20;53889;HIRSCHBUEHL Christian;1990;AUT;49.02;(21);47.34;(9);1;36.36;1.01;7.73;Rossignol
20;16;380335;ZUBCIC Filip;1993;CRO;48.92;(19);47.50;(13);1;36.42;1.07;8.19;Atomic
21;9;220689;RYDING Dave;1986;GBR;48.66;(13);47.86;(23);1;36.52;1.17;8.96;Dynastar
22;1;511996;YULE Daniel;1993;SUI;48.12;(5);48.49;(27);1;36.61;1.26;9.65;Fischer
23;24;6291430;MAURBERGER Simon;1995;ITA;49.57;(29);47.08;(5);1;36.65;1.30;9.95;Atomic
24;23;422507;HAUGAN Timon;1996;NOR;49.08;(24);47.66;(18);1;36.74;1.39;10.64;Head
25;43;202520;HOLZMANN Sebastian;1993;GER;49.53;(27);47.25;(7);1;36.78;1.43;10.95;Rossignol
26;22;561322;HADALIN Stefan;1995;SLO;48.83;(16);48.30;(24);1;37.13;1.78;13.63;Rossignol
27;40;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;49.55;(28);47.61;(15);1;37.16;1.81;13.86;Rossignol
Conditions on course:;;;;;;;
Run 1;SKY CLEAR;Snow:;HARD;Temperature - Start:;0°C;Temperature - Finish:;1°C
Run 2;SKY CLEAR;Snow:;HARD;Temperature - Start:;0°C;Temperature - Finish:;1°C