"";"temperatura";"Disciplina";"Ski";"tocke_30"
"1";-11;"DH";"Atomic";129
"2";-11;"DH";"Fischer";57
"3";-11;"DH";"Head";239
"4";-11;"DH";"Rossignol";82
"5";-11;"DH";"Salomon";75
"6";-11;"DH";"Stoeckli";50
"7";-9,5;"GS";"Atomic";113
"8";-9,5;"GS";"Fischer";50
"9";-9,5;"GS";"Head";203
"10";-9,5;"GS";"Rossignol";127
"11";-9,5;"GS";"Salomon";59
"12";-9,5;"GS";"Stoeckli";24
"13";-9,5;"GS";"Dynastar";76
"14";-8,5;"SL";"Atomic";144
"15";-8,5;"SL";"Fischer";157
"16";-8,5;"SL";"Head";101
"17";-8,5;"SL";"Rossignol";161
"18";-8,5;"SL";"Salomon";13
"19";-8,5;"SL";"Voelkl";121
"20";-8;"SL";"Atomic";113
"21";-8;"SL";"Fischer";146
"22";-8;"SL";"Head";23
"23";-8;"SL";"Rossignol";253
"24";-8;"SL";"Salomon";5
"25";-8;"SL";"Dynastar";99
"26";-8;"SL";"Voelkl";53
"27";-7,5;"SL";"Atomic";160
"28";-7,5;"SL";"Fischer";95
"29";-7,5;"SL";"Head";60
"30";-7,5;"SL";"Rossignol";138
"31";-7,5;"SL";"Salomon";32
"32";-7,5;"SL";"Dynastar";80
"33";-7;"DH";"Atomic";241
"34";-7;"DH";"Fischer";210
"35";-7;"DH";"Head";431
"36";-7;"DH";"Rossignol";135
"37";-7;"DH";"Salomon";221
"38";-7;"DH";"Stoeckli";123
"39";-7;"SG";"Atomic";79
"40";-7;"SG";"Fischer";37
"41";-7;"SG";"Head";316
"42";-7;"SG";"Rossignol";91
"43";-7;"SG";"Salomon";103
"44";-7;"SG";"Stoeckli";80
"45";-7;"SG";"Dynastar";9
"46";-7;"GS";"Atomic";198
"47";-7;"GS";"Fischer";5
"48";-7;"GS";"Head";171
"49";-7;"GS";"Rossignol";107
"50";-7;"GS";"Salomon";104
"51";-7;"GS";"Stoeckli";50
"52";-7;"GS";"Dynastar";65
"53";-6,5;"GS";"Atomic";199
"54";-6,5;"GS";"Fischer";7
"55";-6,5;"GS";"Head";215
"56";-6,5;"GS";"Rossignol";179
"57";-6,5;"GS";"Salomon";46
"58";-6,5;"GS";"Stoeckli";60
"59";-6,5;"GS";"Dynastar";8
"60";-6;"SL";"Atomic";195
"61";-6;"SL";"Fischer";94
"62";-6;"SL";"Head";52
"63";-6;"SL";"Rossignol";184
"64";-6;"SL";"Salomon";20
"65";-6;"SL";"Dynastar";80
"66";-6;"SL";"Voelkl";78
"67";-4,25;"GS";"Atomic";134
"68";-4,25;"GS";"Fischer";24
"69";-4,25;"GS";"Head";117
"70";-4,25;"GS";"Rossignol";200
"71";-4,25;"GS";"Salomon";44
"72";-4,25;"GS";"Stoeckli";80
"73";-4,25;"GS";"Dynastar";89
"74";-4,25;"GS";"Voelkl";13
"75";-4;"DH";"Atomic";96
"76";-4;"DH";"Fischer";60
"77";-4;"DH";"Head";289
"78";-4;"DH";"Rossignol";70
"79";-4;"DH";"Salomon";129
"80";-4;"DH";"Stoeckli";26
"81";-4;"SL";"Atomic";109
"82";-4;"SL";"Fischer";114
"83";-4;"SL";"Head";133
"84";-4;"SL";"Rossignol";128
"85";-4;"SL";"Salomon";25
"86";-4;"SL";"Dynastar";80
"87";-4;"SL";"Voelkl";94
"88";-3,75;"GS";"Atomic";131
"89";-3,75;"GS";"Fischer";6
"90";-3,75;"GS";"Head";197
"91";-3,75;"GS";"Rossignol";157
"92";-3,75;"GS";"Salomon";86
"93";-3,75;"GS";"Stoeckli";100
"94";-3,75;"GS";"Dynastar";20
"95";-3,75;"GS";"Voelkl";10
"96";-3;"SG";"Atomic";314
"97";-3;"SG";"Fischer";37
"98";-3;"SG";"Head";199
"99";-3;"SG";"Rossignol";56
"100";-3;"SG";"Salomon";77
"101";-3;"SG";"Stoeckli";20
"102";-3;"SG";"Dynastar";5
"103";-2,5;"SG";"Atomic";349
"104";-2,5;"SG";"Fischer";70
"105";-2,5;"SG";"Head";526
"106";-2,5;"SG";"Rossignol";153
"107";-2,5;"SG";"Salomon";174
"108";-2,5;"SG";"Stoeckli";59
"109";-2,5;"SG";"Dynastar";24
"110";-1,5;"DH";"Atomic";176
"111";-1,5;"DH";"Fischer";93
"112";-1,5;"DH";"Head";224
"113";-1,5;"DH";"Rossignol";129
"114";-1,5;"DH";"Salomon";66
"115";-1,5;"DH";"Stoeckli";6
"116";-1,5;"SG";"Atomic";244
"117";-1,5;"SG";"Fischer";41
"118";-1,5;"SG";"Head";236
"119";-1,5;"SG";"Rossignol";47
"120";-1,5;"SG";"Salomon";88
"121";-1,5;"SG";"Stoeckli";30
"122";-1,5;"GS";"Atomic";331
"123";-1,5;"GS";"Fischer";39
"124";-1,5;"GS";"Head";520
"125";-1,5;"GS";"Rossignol";292
"126";-1,5;"GS";"Salomon";89
"127";-1,5;"GS";"Stoeckli";110
"128";-1,5;"GS";"Dynastar";20
"129";-1,5;"GS";"Voelkl";11
"130";-1;"DH";"Atomic";148
"131";-1;"DH";"Fischer";208
"132";-1;"DH";"Head";595
"133";-1;"DH";"Rossignol";104
"134";-1;"DH";"Salomon";141
"135";-1;"DH";"Stoeckli";89
"136";0,5;"SG";"Atomic";102
"137";0,5;"SG";"Fischer";134
"138";0,5;"SG";"Head";246
"139";0,5;"SG";"Rossignol";12
"140";0,5;"SG";"Salomon";93
"141";0,5;"SG";"Stoeckli";109
"142";0,5;"SL";"Atomic";454
"143";0,5;"SL";"Fischer";283
"144";0,5;"SL";"Head";151
"145";0,5;"SL";"Rossignol";745
"146";0,5;"SL";"Salomon";60
"147";0,5;"SL";"Dynastar";209
"148";0,5;"SL";"Voelkl";176
"149";0,75;"SL";"Atomic";221
"150";0,75;"SL";"Fischer";176
"151";0,75;"SL";"Head";71
"152";0,75;"SL";"Rossignol";535
"153";0,75;"SL";"Salomon";142
"154";0,75;"SL";"Dynastar";100
"155";0,75;"SL";"Voelkl";127
"156";1;"SL";"Atomic";173
"157";1;"SL";"Fischer";116
"158";1;"SL";"Head";28
"159";1;"SL";"Rossignol";222
"160";1;"SL";"Salomon";45
"161";1;"SL";"Dynastar";26
"162";1;"SL";"Voelkl";55
"163";1,5;"SG";"Atomic";98
"164";1,5;"SG";"Fischer";48
"165";1,5;"SG";"Head";277
"166";1,5;"SG";"Rossignol";81
"167";1,5;"SG";"Salomon";99
"168";1,5;"SG";"Stoeckli";60
"169";1,5;"SG";"Dynastar";26
"170";1,5;"GS";"Atomic";243
"171";1,5;"GS";"Fischer";142
"172";1,5;"GS";"Head";381
"173";1,5;"GS";"Rossignol";318
"174";1,5;"GS";"Salomon";77
"175";1,5;"GS";"Stoeckli";133
"176";1,5;"GS";"Dynastar";118
"177";1,5;"GS";"Voelkl";11
"178";2,25;"GS";"Atomic";90
"179";2,25;"GS";"Fischer";60
"180";2,25;"GS";"Head";127
"181";2,25;"GS";"Rossignol";218
"182";2,25;"GS";"Salomon";50
"183";2,25;"GS";"Stoeckli";112
"184";2,25;"GS";"Dynastar";52
"185";2,5;"DH";"Atomic";83
"186";2,5;"DH";"Fischer";24
"187";2,5;"DH";"Head";333
"188";2,5;"DH";"Rossignol";83
"189";2,5;"DH";"Salomon";129
"190";2,5;"DH";"Stoeckli";5
"191";3;"SL";"Atomic";66
"192";3;"SL";"Fischer";63
"193";3;"SL";"Head";86
"194";3;"SL";"Rossignol";185
"195";3;"SL";"Salomon";26
"196";3;"SL";"Dynastar";30
"197";3;"SL";"Voelkl";180
"198";4;"GS";"Atomic";135
"199";4;"GS";"Head";123
"200";4;"GS";"Rossignol";232
"201";4;"GS";"Salomon";169
